datetime,tel_no,bizplc_nm,SVC_1_NM,SVC_2_NM,meta_info,user_comm
2022-01-19 6:43,010-1673-8339,아고다,여행,숙박,여행,2
2022-01-16 23:16,010-0191-8818,라라골프,골프웨어,골프,스포츠,1
2022-02-12 18:25,010-0191-8818,럭스골프,골프웨어,골프,스포츠,1
2022-01-07 7:59,010-0191-8818,현대카드,카드,카드,의류쇼핑,1
2022-02-11 10:23,010-0652-2742,야놀자,여행,숙박,여행,3
2022-03-03 15:04,010-8508-2927,모두투어,여행,투어,여행,3
2022-02-08 7:48,010-8508-2927,대한민국 구석구석,여행,투어,여행,3
2022-01-27 9:27,010-1201-7234,마이리얼트립,여행,투어,여행,3
2022-01-25 12:48,010-2741-2272,트렌디 클로젯,패션의류,여성의류,의류쇼핑,0
2022-02-12 10:47,010-2741-2272,SIVILLAGE,패션의류,여성의류,의류쇼핑,0
2022-03-27 14:42,010-2741-2272,하이버,패션의류,남성의류,의류쇼핑,0
2022-03-15 13:38,010-2741-2272,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-03-17 2:20,010-2741-2272,네이버페이,결제,페이서비스,의류쇼핑,0
2022-02-04 13:55,010-2741-2272,한진택배,운송,화물운송,의류쇼핑,0
2022-03-01 4:40,010-1336-7149,지포어,골프웨어,골프,스포츠,4
2022-02-01 19:44,010-1336-7149,럭스골프,골프웨어,골프,스포츠,4
2022-01-09 19:10,010-1336-7149,카카오페이,결제,페이서비스,의류쇼핑,4
2022-01-30 19:24,010-1336-7149,네이버페이,결제,페이서비스,의류쇼핑,4
2022-01-03 22:13,010-0377-5954,트리바고,여행,숙박,여행,3
2022-02-17 19:39,010-0377-5954,LetsKorail,여행,투어,여행,3
2022-01-02 1:33,010-0098-8612,서울그토어,패션의류,여성의류,의류쇼핑,0
2022-03-16 0:48,010-0098-8612,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-01-25 7:50,010-0098-8612,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-01-20 16:31,010-0098-8612,현대카드,카드,카드,의류쇼핑,0
2022-03-16 0:24,010-0098-8612,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-02-08 15:10,010-5322-1882,버디핏,골프웨어,골프,스포츠,4
2022-02-07 12:54,010-5322-1882,럭스골프,골프웨어,골프,스포츠,4
2022-02-12 7:02,010-5322-1882,지포어,골프웨어,골프,스포츠,4
2022-03-17 6:55,010-5322-1882,고배송,운송,화물운송,의류쇼핑,4
2022-03-03 16:31,010-7945-4916,Booking.Com,여행,숙박,여행,3
2022-03-02 17:51,010-0077-2466,럭스골프,골프웨어,골프,스포츠,4
2022-03-07 8:22,010-0077-2466,체스골프,골프웨어,골프,스포츠,4
2022-02-07 19:02,010-0077-2466,체스골프,골프웨어,골프,스포츠,4
2022-03-09 16:21,010-0077-2466,ShipTrack,운송,화물운송,의류쇼핑,4
2022-03-27 10:53,010-0077-2466,ShipTrack,운송,화물운송,의류쇼핑,4
2022-03-21 20:40,010-0148-8451,라라골프,골프웨어,골프,스포츠,4
2022-01-04 17:31,010-0148-8451,국민카드,카드,카드,의류쇼핑,4
2022-02-26 13:45,010-1360-2252,HAGO,패션의류,여성의류,의류쇼핑,0
2022-02-15 4:15,010-1360-2252,Overseas,패션의류,여성의류,의류쇼핑,0
2022-02-04 10:14,010-1360-2252,스테이리프,패션의류,남성의류,의류쇼핑,0
2022-03-22 13:41,010-1360-2252,션타운,패션의류,남성의류,의류쇼핑,0
2022-02-25 5:22,010-1360-2252,현대카드,카드,카드,의류쇼핑,0
2022-01-13 7:29,010-5277-9855,SIVILLAGE,패션의류,여성의류,의류쇼핑,0
2022-02-24 19:10,010-5277-9855,어베인,패션의류,여성의류,의류쇼핑,0
2022-03-10 23:33,010-5277-9855,놈시크,패션의류,남성의류,의류쇼핑,0
2022-01-28 0:36,010-5277-9855,카카오페이,결제,페이서비스,의류쇼핑,0
2022-02-01 20:33,010-8116-4164,럭스골프,골프웨어,골프,스포츠,1
2022-03-21 19:24,010-8116-4164,한진택배,운송,화물운송,의류쇼핑,1
2022-01-03 8:37,010-8116-4164,고배송,운송,화물운송,의류쇼핑,1
2022-02-08 15:37,010-6604-7531,버디핏,골프웨어,골프,스포츠,4
2022-02-15 23:51,010-6604-7531,버디핏,골프웨어,골프,스포츠,4
2022-02-20 15:37,010-6604-7531,한진택배,운송,화물운송,의류쇼핑,4
2022-01-14 3:21,010-6604-7531,한진택배,운송,화물운송,의류쇼핑,4
2022-01-05 0:54,010-1151-1957,호두에이트,패션의류,여성의류,의류쇼핑,0
2022-01-08 21:52,010-1151-1957,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-02-24 22:41,010-1151-1957,고배송,운송,화물운송,의류쇼핑,0
2022-03-25 23:28,010-1151-1957,카카오페이,결제,페이서비스,의류쇼핑,0
2022-02-03 17:34,010-6220-1588,EQL,패션의류,여성의류,의류쇼핑,0
2022-02-05 1:14,010-6220-1588,SIVILLAGE,패션의류,여성의류,의류쇼핑,0
2022-01-01 10:28,010-6220-1588,놈시크,패션의류,남성의류,의류쇼핑,0
2022-01-07 17:39,010-6220-1588,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-01-19 12:32,010-6220-1588,ShipTrack,운송,화물운송,의류쇼핑,0
2022-03-11 15:24,010-9161-5696,트립어드바이저,여행,투어,여행,3
2022-01-11 18:12,010-0609-9883,럭스골프,골프웨어,골프,스포츠,4
2022-03-07 4:28,010-0609-9883,현대카드,카드,카드,의류쇼핑,4
2022-02-22 11:44,010-0609-9883,스마트택배,운송,화물운송,의류쇼핑,4
2022-02-15 17:44,010-0112-1787,비주샵11,패션의류,여성의류,의류쇼핑,0
2022-01-05 4:28,010-0112-1787,어베인,패션의류,여성의류,의류쇼핑,0
2022-01-31 12:54,010-0112-1787,션타운,패션의류,남성의류,의류쇼핑,0
2022-03-23 16:31,010-0112-1787,놈시크,패션의류,남성의류,의류쇼핑,0
2022-03-24 1:08,010-0112-1787,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-01-03 11:09,010-0112-1787,ShipTrack,운송,화물운송,의류쇼핑,0
2022-01-31 13:32,010-0112-1787,국민카드,카드,카드,의류쇼핑,0
2022-02-08 2:56,010-0112-1787,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-03-29 21:25,010-5919-1668,딜팡,골프웨어,골프,스포츠,4
2022-01-13 3:54,010-5919-1668,스마트택배,운송,화물운송,의류쇼핑,4
2022-03-16 5:57,010-0014-2527,Booking.Com,여행,숙박,여행,2
2022-03-03 16:59,010-5878-2965,라라골프,골프웨어,골프,스포츠,1
2022-01-27 16:59,010-5878-2965,딜팡,골프웨어,골프,스포츠,1
2022-02-09 11:01,010-5878-2965,롯데글로벌로지스,운송,화물운송,의류쇼핑,1
2022-03-07 3:17,010-5878-2965,스마트택배,운송,화물운송,의류쇼핑,1
2022-01-14 19:11,010-7215-4236,아고다,여행,숙박,여행,5
2022-02-27 19:59,010-5732-1855,딜팡,골프웨어,골프,스포츠,1
2022-01-15 7:40,010-5732-1855,라라골프,골프웨어,골프,스포츠,1
2022-02-09 5:51,010-5732-1855,국민카드,카드,카드,의류쇼핑,1
2022-03-26 3:20,010-5732-1855,국민카드,카드,카드,의류쇼핑,1
2022-01-30 17:15,010-4050-9425,호두에이트,패션의류,여성의류,의류쇼핑,0
2022-02-19 15:51,010-4050-9425,브랜디,패션의류,여성의류,의류쇼핑,0
2022-01-06 19:27,010-4050-9425,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-01-16 19:36,010-4050-9425,ShipTrack,운송,화물운송,의류쇼핑,0
2022-01-13 4:09,010-0385-9998,버디핏,골프웨어,골프,스포츠,1
2022-03-28 16:26,010-0385-9998,지포어,골프웨어,골프,스포츠,1
2022-01-14 0:08,010-0385-9998,국민카드,카드,카드,의류쇼핑,1
2022-03-30 9:54,010-0385-9998,롯데글로벌로지스,운송,화물운송,의류쇼핑,1
2022-02-16 16:33,010-0385-9998,한진택배,운송,화물운송,의류쇼핑,1
2022-03-10 11:29,010-0051-0284,라라골프,골프웨어,골프,스포츠,4
2022-03-04 7:43,010-0051-0284,럭스골프,골프웨어,골프,스포츠,4
2022-03-11 13:02,010-0051-0284,지포어,골프웨어,골프,스포츠,4
2022-03-16 4:24,010-0051-0284,CJ대한통운,운송,화물운송,의류쇼핑,4
2022-03-12 6:03,010-0051-0284,고배송,운송,화물운송,의류쇼핑,4
2022-01-05 12:51,010-8543-1899,인터파크투어,여행,투어,여행,2
2022-03-12 20:34,010-8543-1899,LetsKorail,여행,투어,여행,2
2022-03-21 23:29,010-8543-1899,아시아나항공,항공사,항공,여행,2
2022-02-20 10:46,010-8543-1899,LetsKorail,여행,투어,여행,2
2022-01-05 5:17,010-9820-1221,체스골프,골프웨어,골프,스포츠,4
2022-03-21 22:52,010-9820-1221,라라골프,골프웨어,골프,스포츠,4
2022-02-23 21:07,010-9820-1221,SSG,운송,화물운송,의류쇼핑,4
2022-03-09 2:35,010-0571-6955,버디핏,골프웨어,골프,스포츠,4
2022-03-14 5:59,010-0571-6955,ShipTrack,운송,화물운송,의류쇼핑,4
2022-03-09 16:51,010-0571-6955,ShipTrack,운송,화물운송,의류쇼핑,4
2022-03-03 6:51,010-0571-6955,현대카드,카드,카드,의류쇼핑,4
2022-02-07 14:23,010-5818-4328,라라골프,골프웨어,골프,스포츠,4
2022-01-18 11:56,010-5818-4328,럭스골프,골프웨어,골프,스포츠,4
2022-02-03 11:12,010-5818-4328,스마트택배,운송,화물운송,의류쇼핑,4
2022-03-19 16:28,010-2622-7115,딜팡,골프웨어,골프,스포츠,4
2022-02-26 21:12,010-2622-7115,버디핏,골프웨어,골프,스포츠,4
2022-03-20 22:25,010-2622-7115,한진택배,운송,화물운송,의류쇼핑,4
2022-01-09 0:56,010-2622-7115,롯데글로벌로지스,운송,화물운송,의류쇼핑,4
2022-01-08 20:06,010-1781-6484,트립어드바이저,여행,투어,여행,3
2022-02-24 8:25,010-1781-6484,에어서울,항공사,항공,여행,3
2022-01-17 22:26,010-2954-3446,hikersbay,여행,숙박,여행,2
2022-03-20 23:07,010-2954-3446,Wego,여행,숙박,여행,2
2022-01-26 18:51,010-5982-9126,어베인,패션의류,여성의류,의류쇼핑,0
2022-01-20 13:46,010-5982-9126,놈시크,패션의류,남성의류,의류쇼핑,0
2022-03-19 16:36,010-5982-9126,놈시크,패션의류,남성의류,의류쇼핑,0
2022-01-26 8:05,010-5982-9126,네이버페이,결제,페이서비스,의류쇼핑,0
2022-02-01 20:09,010-5982-9126,카카오페이,결제,페이서비스,의류쇼핑,0
2022-03-10 0:03,010-1376-9895,루키루키,골프웨어,골프,스포츠,4
2022-03-10 19:19,010-1376-9895,네이버페이,결제,페이서비스,의류쇼핑,4
2022-01-25 15:35,010-0049-5517,에어비앤비,여행,숙박,여행,3
2022-03-17 22:57,010-8230-2434,딜팡,골프웨어,골프,스포츠,4
2022-01-26 4:05,010-8230-2434,현대카드,카드,카드,의류쇼핑,4
2022-02-20 5:42,010-0664-9085,지포어,골프웨어,골프,스포츠,1
2022-02-14 7:40,010-0664-9085,버디핏,골프웨어,골프,스포츠,1
2022-03-30 8:26,010-0664-9085,라라골프,골프웨어,골프,스포츠,1
2022-01-16 1:38,010-0664-9085,카카오페이,결제,페이서비스,의류쇼핑,1
2022-03-15 11:10,010-0664-9085,네이버페이,결제,페이서비스,의류쇼핑,1
2022-03-29 9:31,010-0668-5119,라라골프,골프웨어,골프,스포츠,4
2022-02-13 13:50,010-0668-5119,럭스골프,골프웨어,골프,스포츠,4
2022-02-23 15:56,010-0668-5119,ShipTrack,운송,화물운송,의류쇼핑,4
2022-01-15 20:05,010-0668-5119,롯데글로벌로지스,운송,화물운송,의류쇼핑,4
2022-01-04 17:56,010-0668-5119,현대카드,카드,카드,의류쇼핑,4
2022-03-03 9:56,010-9241-8628,버디핏,골프웨어,골프,스포츠,1
2022-02-26 20:19,010-9241-8628,딜팡,골프웨어,골프,스포츠,1
2022-01-18 4:21,010-9241-8628,고배송,운송,화물운송,의류쇼핑,1
2022-03-04 6:55,010-9241-8628,롯데글로벌로지스,운송,화물운송,의류쇼핑,1
2022-02-19 17:33,010-9241-8628,고배송,운송,화물운송,의류쇼핑,1
2022-01-04 6:44,010-4723-4432,트렌디 클로젯,패션의류,여성의류,의류쇼핑,0
2022-03-28 23:45,010-4723-4432,하이버,패션의류,남성의류,의류쇼핑,0
2022-03-15 13:33,010-4723-4432,ShipTrack,운송,화물운송,의류쇼핑,0
2022-01-31 16:31,010-4723-4432,ShipTrack,운송,화물운송,의류쇼핑,0
2022-03-21 9:36,010-4723-4432,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-01-07 22:56,010-0568-9426,LetsKorail,여행,투어,여행,2
2022-01-19 17:27,010-0568-9426,모두투어,여행,투어,여행,2
2022-03-04 22:52,010-2632-5861,10가트,패션의류,여성의류,의류쇼핑,0
2022-03-18 19:12,010-2632-5861,트렌디 클로젯,패션의류,여성의류,의류쇼핑,0
2022-02-14 7:49,010-2632-5861,하이버,패션의류,남성의류,의류쇼핑,0
2022-03-01 7:28,010-2632-5861,하이버,패션의류,남성의류,의류쇼핑,0
2022-01-24 4:15,010-2632-5861,네이버페이,결제,페이서비스,의류쇼핑,0
2022-03-20 20:43,010-2632-5861,고배송,운송,화물운송,의류쇼핑,0
2022-02-14 12:46,010-2632-5861,고배송,운송,화물운송,의류쇼핑,0
2022-02-20 16:57,010-8627-3515,버디핏,골프웨어,골프,스포츠,1
2022-01-16 11:24,010-8627-3515,라라골프,골프웨어,골프,스포츠,1
2022-03-10 21:19,010-8627-3515,네이버페이,결제,페이서비스,의류쇼핑,1
2022-02-02 9:29,010-0316-9461,럭스골프,골프웨어,골프,스포츠,1
2022-03-30 14:40,010-0316-9461,한진택배,운송,화물운송,의류쇼핑,1
2022-03-05 14:44,010-0316-9461,SSG,운송,화물운송,의류쇼핑,1
2022-01-14 2:17,010-0316-9461,고배송,운송,화물운송,의류쇼핑,1
2022-02-16 6:17,010-0699-7496,라라골프,골프웨어,골프,스포츠,4
2022-03-16 21:46,010-0699-7496,럭스골프,골프웨어,골프,스포츠,4
2022-02-23 23:23,010-0699-7496,CJ대한통운,운송,화물운송,의류쇼핑,4
2022-01-06 13:12,010-3806-3136,인터파크투어,여행,투어,여행,3
2022-02-22 18:18,010-3806-3136,호텔스닷컴,여행,숙박,여행,3
2022-01-09 0:02,010-8504-8948,럭스골프,골프웨어,골프,스포츠,1
2022-03-21 16:07,010-8504-8948,롯데글로벌로지스,운송,화물운송,의류쇼핑,1
2022-02-20 6:15,010-3705-3734,루키루키,골프웨어,골프,스포츠,4
2022-02-03 8:08,010-3705-3734,현대카드,카드,카드,의류쇼핑,4
2022-01-01 5:44,010-6131-2374,여행박사,여행,투어,여행,2
2022-03-20 22:20,010-6131-2374,에어비앤비,여행,숙박,여행,2
2022-03-17 5:33,010-8252-1161,호텔스닷컴,여행,숙박,여행,2
2022-01-08 18:23,010-8252-1161,아시아나항공,항공사,항공,여행,2
2022-01-11 2:17,010-7237-2671,10가트,패션의류,여성의류,의류쇼핑,0
2022-02-11 12:41,010-7237-2671,Overseas,패션의류,여성의류,의류쇼핑,0
2022-02-28 23:40,010-7237-2671,놈시크,패션의류,남성의류,의류쇼핑,0
2022-02-04 4:57,010-7237-2671,맨즈그라운드,패션의류,남성의류,의류쇼핑,0
2022-02-25 8:50,010-7237-2671,스마트택배,운송,화물운송,의류쇼핑,0
2022-02-13 20:15,010-7237-2671,네이버페이,결제,페이서비스,의류쇼핑,0
2022-02-02 14:29,010-0310-6270,버디핏,골프웨어,골프,스포츠,1
2022-03-22 22:13,010-0310-6270,지포어,골프웨어,골프,스포츠,1
2022-02-06 16:57,010-0310-6270,SSG,운송,화물운송,의류쇼핑,1
2022-02-19 17:58,010-0310-6270,네이버페이,결제,페이서비스,의류쇼핑,1
2022-02-05 3:38,010-6571-5182,지포어,골프웨어,골프,스포츠,1
2022-03-23 16:24,010-6571-5182,국민카드,카드,카드,의류쇼핑,1
2022-03-25 15:20,010-6571-5182,네이버페이,결제,페이서비스,의류쇼핑,1
2022-03-03 19:18,010-0823-1128,루키루키,골프웨어,골프,스포츠,1
2022-01-12 12:55,010-0823-1128,스마트택배,운송,화물운송,의류쇼핑,1
2022-01-14 5:09,010-9564-6552,럭스골프,골프웨어,골프,스포츠,1
2022-01-31 18:24,010-9564-6552,체스골프,골프웨어,골프,스포츠,1
2022-01-03 4:57,010-9564-6552,네이버페이,결제,페이서비스,의류쇼핑,1
2022-01-18 17:29,010-7922-4211,호텔스닷컴,여행,숙박,여행,2
2022-03-13 5:46,010-7922-4211,한진관광,여행,투어,여행,2
2022-01-13 3:30,010-0986-4951,Booking.Com,여행,숙박,여행,3
2022-01-02 20:44,010-0444-5994,대한민국 구석구석,여행,투어,여행,2
2022-02-02 19:20,010-0444-5994,LetsKorail,여행,투어,여행,2
2022-03-28 0:23,010-0101-1427,HAGO,패션의류,여성의류,의류쇼핑,0
2022-02-28 23:31,010-0101-1427,브랜디,패션의류,여성의류,의류쇼핑,0
2022-01-19 18:31,010-0101-1427,하이버,패션의류,남성의류,의류쇼핑,0
2022-01-05 6:51,010-0101-1427,하이버,패션의류,남성의류,의류쇼핑,0
2022-02-10 4:18,010-0101-1427,롯데글로벌로지스,운송,화물운송,의류쇼핑,0
2022-03-04 15:52,010-0101-1427,한진택배,운송,화물운송,의류쇼핑,0
2022-01-07 0:33,010-0101-1427,롯데글로벌로지스,운송,화물운송,의류쇼핑,0
2022-03-09 20:25,010-9505-2445,지포어,골프웨어,골프,스포츠,4
2022-01-31 5:16,010-9505-2445,루키루키,골프웨어,골프,스포츠,4
2022-03-19 8:36,010-9505-2445,체스골프,골프웨어,골프,스포츠,4
2022-02-07 19:38,010-9505-2445,루키루키,골프웨어,골프,스포츠,4
2022-03-30 12:20,010-9505-2445,CJ대한통운,운송,화물운송,의류쇼핑,4
2022-01-06 1:42,010-9505-2445,네이버페이,결제,페이서비스,의류쇼핑,4
2022-02-28 7:08,010-5099-2432,HAGO,패션의류,여성의류,의류쇼핑,0
2022-03-16 12:31,010-5099-2432,놈시크,패션의류,남성의류,의류쇼핑,0
2022-03-19 3:11,010-5099-2432,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-03-11 1:33,010-5099-2432,국민카드,카드,카드,의류쇼핑,0
2022-01-17 7:50,010-0363-9339,아시아나항공,항공사,항공,여행,3
2022-02-04 17:55,010-9852-5848,마이리얼트립,여행,투어,여행,3
2022-03-23 2:08,010-7629-8584,버디핏,골프웨어,골프,스포츠,4
2022-01-08 12:24,010-7629-8584,현대카드,카드,카드,의류쇼핑,4
2022-02-09 15:14,010-7629-8584,롯데글로벌로지스,운송,화물운송,의류쇼핑,4
2022-01-06 5:50,010-7629-8584,고배송,운송,화물운송,의류쇼핑,4
2022-02-12 18:55,010-0279-4855,대한항공,항공사,항공,여행,2
2022-02-04 11:09,010-0279-4855,대한민국 구석구석,여행,투어,여행,2
2022-02-28 15:45,010-7488-7671,루앤,패션의류,여성의류,의류쇼핑,0
2022-03-29 13:26,010-7488-7671,하이버,패션의류,남성의류,의류쇼핑,0
2022-03-02 5:01,010-7488-7671,SSG,운송,화물운송,의류쇼핑,0
2022-03-15 10:41,010-0807-7185,지포어,골프웨어,골프,스포츠,1
2022-01-25 20:07,010-0807-7185,딜팡,골프웨어,골프,스포츠,1
2022-03-07 6:36,010-0807-7185,스마트택배,운송,화물운송,의류쇼핑,1
2022-01-31 1:45,010-0807-7185,현대카드,카드,카드,의류쇼핑,1
2022-02-24 15:16,010-0807-7185,네이버페이,결제,페이서비스,의류쇼핑,1
2022-03-24 10:31,010-0196-9718,버디핏,골프웨어,골프,스포츠,4
2022-03-20 0:54,010-0196-9718,딜팡,골프웨어,골프,스포츠,4
2022-02-14 1:03,010-0196-9718,현대카드,카드,카드,의류쇼핑,4
2022-02-10 0:33,010-0401-4233,호텔스닷컴,여행,숙박,여행,2
2022-01-18 12:58,010-0492-8945,지포어,골프웨어,골프,스포츠,4
2022-01-03 23:30,010-0492-8945,네이버페이,결제,페이서비스,의류쇼핑,4
2022-02-14 1:15,010-0851-3328,트립어드바이저,여행,투어,여행,5
2022-03-19 21:44,010-2675-1188,Overseas,패션의류,여성의류,의류쇼핑,0
2022-01-26 15:30,010-2675-1188,fashion520,패션의류,여성의류,의류쇼핑,0
2022-01-19 11:52,010-2675-1188,하이버,패션의류,남성의류,의류쇼핑,0
2022-02-07 15:18,010-2675-1188,스테이리프,패션의류,남성의류,의류쇼핑,0
2022-01-07 5:20,010-2675-1188,국민카드,카드,카드,의류쇼핑,0
2022-02-04 17:17,010-2675-1188,롯데글로벌로지스,운송,화물운송,의류쇼핑,0
2022-01-10 8:24,010-1452-4769,루키루키,골프웨어,골프,스포츠,4
2022-01-12 23:27,010-1452-4769,체스골프,골프웨어,골프,스포츠,4
2022-01-03 13:01,010-1452-4769,CJ대한통운,운송,화물운송,의류쇼핑,4
2022-02-04 1:23,010-1452-4769,SSG,운송,화물운송,의류쇼핑,4
2022-01-03 1:43,010-0970-7123,여행박사,여행,투어,여행,2
2022-01-18 4:38,010-3884-1566,호텔스컴바인,여행,숙박,여행,5
2022-02-09 4:50,010-5723-2833,어베인,패션의류,여성의류,의류쇼핑,0
2022-03-01 19:24,010-5723-2833,HAGO,패션의류,여성의류,의류쇼핑,0
2022-03-09 1:08,010-5723-2833,하이버,패션의류,남성의류,의류쇼핑,0
2022-03-05 10:36,010-5723-2833,네이버페이,결제,페이서비스,의류쇼핑,0
2022-03-29 2:09,010-5723-2833,카카오페이,결제,페이서비스,의류쇼핑,0
2022-01-02 7:47,010-5723-2833,고배송,운송,화물운송,의류쇼핑,0
2022-02-01 8:11,010-2573-5117,SIVILLAGE,패션의류,여성의류,의류쇼핑,0
2022-02-14 7:39,010-2573-5117,스테이리프,패션의류,남성의류,의류쇼핑,0
2022-03-18 18:35,010-2573-5117,놈시크,패션의류,남성의류,의류쇼핑,0
2022-02-23 19:02,010-2573-5117,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-03-14 10:19,010-2573-5117,CJ대한통운,운송,화물운송,의류쇼핑,0
2022-03-26 15:07,010-1432-2963,체스골프,골프웨어,골프,스포츠,1
2022-03-09 11:06,010-1432-2963,체스골프,골프웨어,골프,스포츠,1
2022-02-18 3:50,010-1432-2963,국민카드,카드,카드,의류쇼핑,1
